pozycja,artysta,utwór,rok_wydania,youtube_search,youtube_link,youtubeId
34,Maanam,KOCHAM CIĘ KOCHANIE MOJE,1999,https://www.youtube.com/results?search_query=Maanam%20KOCHAM%20CI%C4%98%20KOCHANIE%20MOJE,https://www.youtube.com/watch?v=nIncb6Gy2js,nIncb6Gy2js
35,Lao Che,Hydropiekłowstąpienie,2020,https://www.youtube.com/results?search_query=Lao%20Che%20Hydropiek%C5%82owst%C4%85pienie,https://www.youtube.com/watch?v=GbvjscxglfU,GbvjscxglfU
36,Jerzy Stuhr,ŚPIEWAĆ KAŻDY MOŻE,2007,https://www.youtube.com/results?search_query=Jerzy%20Stuhr%20%C5%9APIEWA%C4%86%20KA%C5%BBDY%20MO%C5%BBE,https://www.youtube.com/watch?v=ENvAmLuj5ko,ENvAmLuj5ko
37,Franek Kimono,KING BRUCE LEE KARATE MISTRZ,1991,https://www.youtube.com/results?search_query=Franek%20Kimono%20KING%20BRUCE%20LEE%20KARATE%20MISTRZ,https://www.youtube.com/watch?v=a2Osn1orxko,a2Osn1orxko
38,Hey,TEKSAŃSKI,2007,https://www.youtube.com/results?search_query=Hey%20TEKSA%C5%83SKI,https://www.youtube.com/watch?v=YH12ppOenG8,YH12ppOenG8
39,Obywatel G.C.,"TAK, TAK... TO JA",1993,https://www.youtube.com/results?search_query=Obywatel%20G.C.%20TAK%2C%20TAK...%20TO%20JA,https://www.youtube.com/watch?v=sOrXHaOqLL8,sOrXHaOqLL8
40,Małgorzata Ostrowska,MELUZYNA,2012,https://www.youtube.com/results?search_query=Ma%C5%82gorzata%20Ostrowska%20MELUZYNA,https://www.youtube.com/watch?v=Tfodk95O_rQ,Tfodk95O_rQ
41,Stanisław Soyka,TOLERANCJA / NA MIŁY BÓG,,https://www.youtube.com/results?search_query=Stanis%C5%82aw%20Soyka%20TOLERANCJA%20/%20NA%20MI%C5%81Y%20B%C3%93G,https://www.youtube.com/watch?v=dIonZ_CMWUg,dIonZ_CMWUg
42,Róże Europy i Edyta Bartosiewicz,JEDWAB,,https://www.youtube.com/results?search_query=R%C3%B3%C5%BCe%20Europy%20i%20Edyta%20Bartosiewicz%20JEDWAB,https://www.youtube.com/watch?v=TI7IeujwFdg,TI7IeujwFdg
43,Happysad,Zanim pójdę,2004,https://www.youtube.com/results?search_query=Happysad%20Zanim%20p%C3%B3jd%C4%99,https://www.youtube.com/watch?v=iv9Z0dnjMzE,iv9Z0dnjMzE
44,Lombard,PRZEŻYJ TO SAM,1999,https://www.youtube.com/results?search_query=Lombard%20PRZE%C5%BBYJ%20TO%20SAM,https://www.youtube.com/watch?v=ZeE3wjUbiaA,ZeE3wjUbiaA
45,Turbo,DOROSŁE DZIECI,2010,https://www.youtube.com/results?search_query=Turbo%20DOROS%C5%81E%20DZIECI,https://www.youtube.com/watch?v=AZ5HNcC4Fs8,AZ5HNcC4Fs8
46,Męskie Granie Orkiestra 2018,POCZĄTEK,2018,https://www.youtube.com/results?search_query=M%C4%99skie%20Granie%20Orkiestra%202018%20POCZ%C4%84TEK,https://www.youtube.com/watch?v=QRxH-II0OsA,QRxH-II0OsA
47,Dawid Podsiadło,mori,2022,https://www.youtube.com/results?search_query=Dawid%20Podsiad%C5%82o%20mori,https://www.youtube.com/watch?v=2DiP0mMeaT8,2DiP0mMeaT8
48,Grzegorz Turnau,BRACKA,1995,https://www.youtube.com/results?search_query=Grzegorz%20Turnau%20BRACKA,https://www.youtube.com/watch?v=vhuW6Pvwj4I,vhuW6Pvwj4I
49,Kult,DO ANI,1988,https://www.youtube.com/results?search_query=Kult%20DO%20ANI,https://www.youtube.com/watch?v=VNAmqtRmp28,VNAmqtRmp28
50,Breakout,MODLITWA,1974,https://www.youtube.com/results?search_query=Breakout%20MODLITWA,https://www.youtube.com/watch?v=JlTHsTamdws,JlTHsTamdws
51,KSU,MOJE BIESZCZADY,1993,https://www.youtube.com/results?search_query=KSU%20MOJE%20BIESZCZADY,https://www.youtube.com/watch?v=s0GNkI6VDKc,s0GNkI6VDKc
52,Klaus Mitffoch,JEZU JAK SIĘ CIESZĘ,2005,https://www.youtube.com/results?search_query=Klaus%20Mitffoch%20JEZU%20JAK%20SI%C4%98%20CIESZ%C4%98,https://www.youtube.com/watch?v=iwWbAxQGmKc,iwWbAxQGmKc
53,Spięty,Blue,2023,https://www.youtube.com/results?search_query=Spi%C4%99ty%20Blue,https://www.youtube.com/watch?v=Ksx_CEHQrf8,Ksx_CEHQrf8
54,Dżem,WEHIKUŁ CZASU,1999,https://www.youtube.com/results?search_query=D%C5%BCem%20WEHIKU%C5%81%20CZASU,https://www.youtube.com/watch?v=XWcqFbMUAb4,XWcqFbMUAb4
55,Krystyna Janda,NA ZAKRĘCIE,2002,https://www.youtube.com/results?search_query=Krystyna%20Janda%20NA%20ZAKR%C4%98CIE,https://www.youtube.com/watch?v=WjPwFcSBQZI,WjPwFcSBQZI
56,TSA,51,1997,https://www.youtube.com/results?search_query=TSA%2051,https://www.youtube.com/watch?v=wBBt9XY1BzU,wBBt9XY1BzU
57,Anna Jantar,NIC NIE MOŻE WIECZNIE TRWAĆ,2004,https://www.youtube.com/results?search_query=Anna%20Jantar%20NIC%20NIE%20MO%C5%BBE%20WIECZNIE%20TRWA%C4%86,https://www.youtube.com/watch?v=W3jEcKd3v0U,W3jEcKd3v0U
58,Lombard,SZKLANA POGODA,,https://www.youtube.com/results?search_query=Lombard%20SZKLANA%20POGODA,https://www.youtube.com/watch?v=SCrR7od_fck,SCrR7od_fck
59,Pidżama Porno,"NIKT TAK PIĘKNIE NIE MÓWIŁ, ŻE SIĘ BOI MIŁOŚCI",2022,https://www.youtube.com/results?search_query=Pid%C5%BCama%20Porno%20NIKT%20TAK%20PI%C4%98KNIE%20NIE%20M%C3%93WI%C5%81%2C%20%C5%BBE%20SI%C4%98%20BOI%20MI%C5%81O%C5%9ACI,https://www.youtube.com/watch?v=1YtRuAd7ti4,1YtRuAd7ti4
60,Kult,BARANEK,2010,https://www.youtube.com/results?search_query=Kult%20BARANEK,https://www.youtube.com/watch?v=DqBuIaa2-_s,DqBuIaa2-_s
61,Hurt,ZAŁOGA G,2009,https://www.youtube.com/results?search_query=Hurt%20ZA%C5%81OGA%20G,https://www.youtube.com/watch?v=8tpY2X2wWyQ,8tpY2X2wWyQ
62,Zbigniew Wodecki,ZACZNIJ OD BACHA,1994,https://www.youtube.com/results?search_query=Zbigniew%20Wodecki%20ZACZNIJ%20OD%20BACHA,https://www.youtube.com/watch?v=rDQHzGpwQNk,rDQHzGpwQNk
63,Maanam,CYKADY NA CYKLADACH,2005,https://www.youtube.com/results?search_query=Maanam%20CYKADY%20NA%20CYKLADACH,https://www.youtube.com/watch?v=rynS2XL9I90,rynS2XL9I90
64,T.Love,WARSZAWA,1991,https://www.youtube.com/results?search_query=T.Love%20WARSZAWA,https://www.youtube.com/watch?v=59JGY-K0BeQ,59JGY-K0BeQ
65,Varius Manx,PIOSENKA KSIĘŻYCOWA,2007,https://www.youtube.com/results?search_query=Varius%20Manx%20PIOSENKA%20KSI%C4%98%C5%BBYCOWA,https://www.youtube.com/watch?v=guJ25FxCwmY,guJ25FxCwmY
66,Krystyna Prońko,PSALM STOJĄCYCH W KOLEJCE,1981,https://www.youtube.com/results?search_query=Krystyna%20Pro%C5%84ko%20PSALM%20STOJ%C4%84CYCH%20W%20KOLEJCE,https://www.youtube.com/watch?v=aU-3t8Wav7U,aU-3t8Wav7U
67,Republika,ODCHODZĄC,2002,https://www.youtube.com/results?search_query=Republika%20ODCHODZ%C4%84C,https://www.youtube.com/watch?v=Iioi5LjzZo8,Iioi5LjzZo8
68,Katarzyna Nosowska,JEŚLI WIESZ CO CHCĘ POWIEDZIEĆ,,https://www.youtube.com/results?search_query=Katarzyna%20Nosowska%20JE%C5%9ALI%20WIESZ%20CO%20CHC%C4%98%20POWIEDZIE%C4%86,https://www.youtube.com/watch?v=HPjOaunM2oI,HPjOaunM2oI
69,Perfect,NIE PŁACZ EWKA,1998,https://www.youtube.com/results?search_query=Perfect%20NIE%20P%C5%81ACZ%20EWKA,https://www.youtube.com/watch?v=iuikxnqbOPA,iuikxnqbOPA
70,Andrzej Zaucha,C'EST LA VIE - PARYŻ Z POCZTÓWKI,1996,https://www.youtube.com/results?search_query=Andrzej%20Zaucha%20C%27EST%20LA%20VIE%20-%20PARY%C5%BB%20Z%20POCZT%C3%93WKI,https://www.youtube.com/watch?v=F6hK-DruuTg,F6hK-DruuTg
71,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,,https://www.youtube.com/results?search_query=Daria%20Zawia%C5%82ow%20JESZCZE%20W%20ZIELONE%20GRAMY,https://www.youtube.com/watch?v=_al4F7y95Jo,_al4F7y95Jo
72,Kacperczyk feat. Artur Rojek,Syn okiennika,,https://www.youtube.com/results?search_query=Kacperczyk%20feat.%20Artur%20Rojek%20Syn%20okiennika,https://www.youtube.com/watch?v=s0ML-fzNWyo,s0ML-fzNWyo
73,Coma,Spadam,2004,https://www.youtube.com/results?search_query=Coma%20Spadam,https://www.youtube.com/watch?v=JmKLT59cTIc,JmKLT59cTIc
74,Brygada Kryzys,"TO CO CZUJESZ, TO CO WIESZ",2021,https://www.youtube.com/results?search_query=Brygada%20Kryzys%20TO%20CO%20CZUJESZ%2C%20TO%20CO%20WIESZ,https://www.youtube.com/watch?v=A24RZDoXDds,A24RZDoXDds
75,O.N.A.,KIEDY POWIEM SOBIE DOŚĆ,1999,https://www.youtube.com/results?search_query=O.N.A.%20KIEDY%20POWIEM%20SOBIE%20DO%C5%9A%C4%86,https://www.youtube.com/watch?v=Xm9vi71mWcU,Xm9vi71mWcU
76,Tilt,JESZCZE BĘDZIE PRZEPIĘKNIE,1996,https://www.youtube.com/results?search_query=Tilt%20JESZCZE%20B%C4%98DZIE%20PRZEPI%C4%98KNIE,https://www.youtube.com/watch?v=u8lsknwn-V8,u8lsknwn-V8
77,Artur Andrus,"PIŁEM W SPALE, SPAŁEM W PILE",2012,https://www.youtube.com/results?search_query=Artur%20Andrus%20PI%C5%81EM%20W%20SPALE%2C%20SPA%C5%81EM%20W%20PILE,https://www.youtube.com/watch?v=faHwAc4N00U,faHwAc4N00U
78,Stare Dobre Małżeństwo,BIESZCZADZKIE ANIOŁY,2007,https://www.youtube.com/results?search_query=Stare%20Dobre%20Ma%C5%82%C5%BCe%C5%84stwo%20BIESZCZADZKIE%20ANIO%C5%81Y,https://www.youtube.com/watch?v=1fy3dAEAlao,1fy3dAEAlao
79,De Mono,KOCHAĆ INACZEJ,1990,https://www.youtube.com/results?search_query=De%20Mono%20KOCHA%C4%86%20INACZEJ,https://www.youtube.com/watch?v=PElie5a5q_Y,PElie5a5q_Y
80,Hey,ZAZDROŚĆ,1994,https://www.youtube.com/results?search_query=Hey%20ZAZDRO%C5%9A%C4%86,https://www.youtube.com/watch?v=tF_FgpWdYc4,tF_FgpWdYc4
81,Zbigniew Wodecki with Mitch & Mitch Orchestra And Choir,RZUĆ TO WSZYSTKO CO ZŁE,2015,https://www.youtube.com/results?search_query=Zbigniew%20Wodecki%20with%20Mitch%20%26%20Mitch%20Orchestra%20And%20Choir%20RZU%C4%86%20TO%20WSZYSTKO%20CO%20Z%C5%81E,https://www.youtube.com/watch?v=VUR3kiQytWc,VUR3kiQytWc
82,Edyta Geppert,"OCH ŻYCIE, KOCHAM CIĘ NAD ŻYCIE",1998,https://www.youtube.com/results?search_query=Edyta%20Geppert%20OCH%20%C5%BBYCIE%2C%20KOCHAM%20CI%C4%98%20NAD%20%C5%BBYCIE,https://www.youtube.com/watch?v=5MoTG6x2RLg,5MoTG6x2RLg
83,Breakout,KIEDY BYŁEM MAŁYM CHŁOPCEM,2001,https://www.youtube.com/results?search_query=Breakout%20KIEDY%20BY%C5%81EM%20MA%C5%81YM%20CH%C5%81OPCEM,https://www.youtube.com/watch?v=lWXSUuosxtk,lWXSUuosxtk
84,Edyta Bartosiewicz,OSTATNI,1995,https://www.youtube.com/results?search_query=Edyta%20Bartosiewicz%20OSTATNI,https://www.youtube.com/watch?v=mK3rv4aeEoA,mK3rv4aeEoA
85,Lech Janerka,ROWER,2005,https://www.youtube.com/results?search_query=Lech%20Janerka%20ROWER,https://www.youtube.com/watch?v=htRMp-uCmPU,htRMp-uCmPU
86,Budka Suflera,JEST TAKI SAMOTNY DOM,1975,https://www.youtube.com/results?search_query=Budka%20Suflera%20JEST%20TAKI%20SAMOTNY%20DOM,https://www.youtube.com/watch?v=wT_ObQMSs3U,wT_ObQMSs3U
87,Kwiat Jabłoni,Mogło być nic,2021,https://www.youtube.com/results?search_query=Kwiat%20Jab%C5%82oni%20Mog%C5%82o%20by%C4%87%20nic,https://www.youtube.com/watch?v=MlInnWzYiZo,MlInnWzYiZo
88,Perfect,NIEPOKONANI,1997,https://www.youtube.com/results?search_query=Perfect%20NIEPOKONANI,https://www.youtube.com/watch?v=HZ8qBioPlHE,HZ8qBioPlHE
89,Myslovitz i Marek Grechuta,KRAKÓW,,https://www.youtube.com/results?search_query=Myslovitz%20i%20Marek%20Grechuta%20KRAK%C3%93W,https://www.youtube.com/watch?v=qKV3KATvl74,qKV3KATvl74
90,Dżem,SEN O VICTORII,1994,https://www.youtube.com/results?search_query=D%C5%BCem%20SEN%20O%20VICTORII,https://www.youtube.com/watch?v=wbIP97IQeWI,wbIP97IQeWI
91,Dżem,DO KOŁYSKI,2025,https://www.youtube.com/results?search_query=D%C5%BCem%20DO%20KO%C5%81YSKI,https://www.youtube.com/watch?v=vdZUK85318w,vdZUK85318w
92,Artur Rojek,SYRENY,2014,https://www.youtube.com/results?search_query=Artur%20Rojek%20SYRENY,https://www.youtube.com/watch?v=Zcf9Wu3sy3s,Zcf9Wu3sy3s
93,Hey,LIST,1999,https://www.youtube.com/results?search_query=Hey%20LIST,https://www.youtube.com/watch?v=em1QVrvQiIA,em1QVrvQiIA
94,Lady Pank,ZAWSZE TAM GDZIE TY,2008,https://www.youtube.com/results?search_query=Lady%20Pank%20ZAWSZE%20TAM%20GDZIE%20TY,https://www.youtube.com/watch?v=XQNJI4QqfFk,XQNJI4QqfFk
95,Jacek Kaczmarski,NASZA KLASA,1984,https://www.youtube.com/results?search_query=Jacek%20Kaczmarski%20NASZA%20KLASA,https://www.youtube.com/watch?v=3RFTqGtLz7M,3RFTqGtLz7M
96,Mr. Z'oob,KAWAŁEK PODŁOGI,2007,https://www.youtube.com/results?search_query=Mr.%20Z%27oob%20KAWA%C5%81EK%20POD%C5%81OGI,https://www.youtube.com/watch?v=FayJHHiYYtk,FayJHHiYYtk
97,Kaśka Sochacka,WIŚNIA,2019,https://www.youtube.com/results?search_query=Ka%C5%9Bka%20Sochacka%20WI%C5%9ANIA,https://www.youtube.com/watch?v=gsl69na5ltc,gsl69na5ltc
98,Artur Rojek,BEKSA,2014,https://www.youtube.com/results?search_query=Artur%20Rojek%20BEKSA,https://www.youtube.com/watch?v=AYOis02tujI,AYOis02tujI
99,Strachy na Lachy,"DZIEŃ DOBRY, KOCHAM CIĘ",2005,https://www.youtube.com/results?search_query=Strachy%20na%20Lachy%20DZIE%C5%83%20DOBRY%2C%20KOCHAM%20CI%C4%98,https://www.youtube.com/watch?v=_EdZbopNeS8,_EdZbopNeS8
100,Coma,"Los, cebula i krokodyle łzy",2018,https://www.youtube.com/results?search_query=Coma%20Los%2C%20cebula%20i%20krokodyle%20%C5%82zy,https://www.youtube.com/watch?v=mlC0VDfp7PA,mlC0VDfp7PA
101,Voo Voo,"NIM STANIE SIĘ TAK, JAK GDYBY NIGDY NIC",1991,https://www.youtube.com/results?search_query=Voo%20Voo%20NIM%20STANIE%20SI%C4%98%20TAK%2C%20JAK%20GDYBY%20NIGDY%20NIC,https://www.youtube.com/watch?v=pd1wWfa9BAM,pd1wWfa9BAM
102,Mikromusic,TAK MI SIĘ NIE CHCE,2017,https://www.youtube.com/results?search_query=Mikromusic%20TAK%20MI%20SI%C4%98%20NIE%20CHCE,https://www.youtube.com/watch?v=OwABO_wB2fw,OwABO_wB2fw
103,Chłopcy z Placu Broni,KOCHAM CIĘ,2014,https://www.youtube.com/results?search_query=Ch%C5%82opcy%20z%20Placu%20Broni%20KOCHAM%20CI%C4%98,https://www.youtube.com/watch?v=n7fXVp9YNQw,n7fXVp9YNQw
104,T.Love,KING,1994,https://www.youtube.com/results?search_query=T.Love%20KING,https://www.youtube.com/watch?v=0Fnp5tnZkJg,0Fnp5tnZkJg
105,Bogusław Mec,JEJ PORTRET,1997,https://www.youtube.com/results?search_query=Bogus%C5%82aw%20Mec%20JEJ%20PORTRET,https://www.youtube.com/watch?v=8sI4m8t7YmA,8sI4m8t7YmA
106,Nosowska / Król,Można,2024,https://www.youtube.com/results?search_query=Nosowska%20/%20Kr%C3%B3l%20Mo%C5%BCna,https://www.youtube.com/watch?v=dPdJdIZ2MsQ,dPdJdIZ2MsQ
107,Kazik,TWÓJ BÓL JEST LEPSZY NIŻ MÓJ,2020,https://www.youtube.com/results?search_query=Kazik%20TW%C3%93J%20B%C3%93L%20JEST%20LEPSZY%20NI%C5%BB%20M%C3%93J,https://www.youtube.com/watch?v=o9LzNtpjhV0,o9LzNtpjhV0
108,Luxtorpeda,Autystyczny,2012,https://www.youtube.com/results?search_query=Luxtorpeda%20Autystyczny,https://www.youtube.com/watch?v=-hqbkY1-iLQ,-hqbkY1-iLQ
109,Stan Borys,JASKÓŁKA UWIĘZIONA,1991,https://www.youtube.com/results?search_query=Stan%20Borys%20JASK%C3%93%C5%81KA%20UWI%C4%98ZIONA,https://www.youtube.com/watch?v=pcv7kPXrj0U,pcv7kPXrj0U
110,Jacek Kaczmarski,OBŁAWA,2004,https://www.youtube.com/results?search_query=Jacek%20Kaczmarski%20OB%C5%81AWA,https://www.youtube.com/watch?v=j2WUNkWDsTI,j2WUNkWDsTI
111,"Kaczmarski, Gintrowski, Łapiński",MURY,,https://www.youtube.com/results?search_query=Kaczmarski%2C%20Gintrowski%2C%20%C5%81api%C5%84ski%20MURY,https://www.youtube.com/watch?v=hwD6i9eOiYE,hwD6i9eOiYE
112,2 plus 1,"CHODŹ, POMALUJ MÓJ ŚWIAT",2006,https://www.youtube.com/results?search_query=2%20plus%201%20CHOD%C5%B9%2C%20POMALUJ%20M%C3%93J%20%C5%9AWIAT,https://www.youtube.com/watch?v=3hYjSsmmzJs,3hYjSsmmzJs
113,Stare Dobre Małżeństwo,CZARNY BLUES O CZWARTEJ NAD RANEM,1992,https://www.youtube.com/results?search_query=Stare%20Dobre%20Ma%C5%82%C5%BCe%C5%84stwo%20CZARNY%20BLUES%20O%20CZWARTEJ%20NAD%20RANEM,https://www.youtube.com/watch?v=00dPWx-1DeM,00dPWx-1DeM
114,Dżem,WHISKY,1992,https://www.youtube.com/results?search_query=D%C5%BCem%20WHISKY,https://www.youtube.com/watch?v=Qz4jpBh_UMs,Qz4jpBh_UMs
115,Krzysztof Zalewski,"MIŁOŚĆ, MIŁOŚĆ",2021,https://www.youtube.com/results?search_query=Krzysztof%20Zalewski%20MI%C5%81O%C5%9A%C4%86%2C%20MI%C5%81O%C5%9A%C4%86,https://www.youtube.com/watch?v=IEiRPInizgQ,IEiRPInizgQ
116,Lady Pank,MNIEJ NIŻ ZERO,2003,https://www.youtube.com/results?search_query=Lady%20Pank%20MNIEJ%20NI%C5%BB%20ZERO,https://www.youtube.com/watch?v=Lc-26SnSmok,Lc-26SnSmok
117,Czesław Niemen,WSPOMNIENIE,2005,https://www.youtube.com/results?search_query=Czes%C5%82aw%20Niemen%20WSPOMNIENIE,https://www.youtube.com/watch?v=AIjnVtdS2dc,AIjnVtdS2dc
118,Bajm,CO MI PANIE DASZ,1993,https://www.youtube.com/results?search_query=Bajm%20CO%20MI%20PANIE%20DASZ,https://www.youtube.com/watch?v=RrAn5pGqu_w,RrAn5pGqu_w
